chr,pos,strand,type,start,end,gene,transcript,group
chr4,122732703,+,promoter,122730703,122734703,BBS12,ENST00000314218.8,0.2 <= TPM < 0.5
chr4,122923077,+,promoter,122921077,122925077,SPATA5,ENST00000274008.5,0.2 <= TPM < 0.5
chr4,124712732,-,promoter,124710732,124714732,ANKRD50,ENST00000504087.6,0.2 <= TPM < 0.5
chr4,138242349,-,promoter,138240349,138244349,SLC7A11,ENST00000280612.9,0.2 <= TPM < 0.5
chr4,151325605,-,promoter,151323605,151327605,SH3D19,ENST00000604030.7,0.2 <= TPM < 0.5
chr4,152936322,+,promoter,152934322,152938322,FHDC1,ENST00000511601.6,0.2 <= TPM < 0.5
chr4,153789083,-,promoter,153787083,153791083,SFRP2,ENST00000274063.5,0.2 <= TPM < 0.5
chr4,156971799,-,promoter,156969799,156973799,PDGFC,ENST00000502773.6,0.2 <= TPM < 0.5
chr4,177309873,+,promoter,177307873,177311873,NEIL3,ENST00000264596.4,0.2 <= TPM < 0.5
chr4,185395924,-,promoter,185393924,185397924,LRP2BP,ENST00000505916.6,0.2 <= TPM < 0.5
chr5,16936288,-,promoter,16934288,16938288,MYO10,ENST00000513610.6,0.2 <= TPM < 0.5
chr5,35617862,+,promoter,35615862,35619862,SPEF2,ENST00000356031.8,0.2 <= TPM < 0.5
chr5,40909496,+,promoter,40907496,40911496,C7,ENST00000313164.10,0.2 <= TPM < 0.5
chr5,60844269,-,promoter,60842269,60846269,ELOVL7,ENST00000508821.6,0.2 <= TPM < 0.5
chr5,66596392,+,promoter,66594392,66598392,MAST4,ENST00000403625.7,0.2 <= TPM < 0.5
chr5,77087285,-,promoter,77085285,77089285,ZBED3,ENST00000255198.3,0.2 <= TPM < 0.5
chr5,80035347,+,promoter,80033347,80037347,THBS4,ENST00000350881.6,0.2 <= TPM < 0.5
chr5,80960362,+,promoter,80958362,80962362,RASGRF2,ENST00000265080.9,0.2 <= TPM < 0.5
chr5,90474771,-,promoter,90472771,90476771,MBLAC2,ENST00000316610.7,0.2 <= TPM < 0.5
chr5,98773662,+,promoter,98771662,98775662,RGMB,ENST00000513185.3,0.2 <= TPM < 0.5
chr5,112419277,-,promoter,112417277,112421277,EPB41L4A,ENST00000261486.6,0.2 <= TPM < 0.5
chr5,113488453,-,promoter,113486453,113490453,MCC,ENST00000408903.7,0.2 <= TPM < 0.5
chr5,118988547,-,promoter,118986547,118990547,DTWD2,ENST00000510708.6,0.2 <= TPM < 0.5
chr5,138439056,+,promoter,138437056,138441056,REEP2,ENST00000378339.7,0.2 <= TPM < 0.5
chr5,139383297,-,promoter,139381297,139385297,SLC23A1,ENST00000348729.8,0.2 <= TPM < 0.5
chr5,139395104,-,promoter,139393104,139397104,PROB1,ENST00000434752.4,0.2 <= TPM < 0.5
chr5,141475965,+,promoter,141473965,141477965,PCDHGC3,ENST00000308177.5,0.2 <= TPM < 0.5
chr5,141878410,-,promoter,141876410,141880410,PCDH1,ENST00000287008.8,0.2 <= TPM < 0.5
chr5,149960757,+,promoter,149958757,149962757,SLC26A2,ENST00000286298.5,0.2 <= TPM < 0.5
chr5,157743711,+,promoter,157741711,157745711,LSM11,ENST00000286307.6,0.2 <= TPM < 0.5
chr5,160229505,+,promoter,160227505,160231505,FABP6,ENST00000402432.4,0.2 <= TPM < 0.5
chr5,170389367,-,promoter,170387367,170391367,KCNMB1,ENST00000274629.9,0.2 <= TPM < 0.5
chr5,176610156,-,promoter,176608156,176612156,GPRIN1,ENST00000303991.5,0.2 <= TPM < 0.5
chr5,177086914,+,promoter,177084914,177088914,FGFR4,ENST00000292408.9,0.2 <= TPM < 0.5
chr6,24798917,-,promoter,24796917,24800917,ARMH2,ENST00000565469.4,0.2 <= TPM < 0.5
chr6,25279373,+,promoter,25277373,25281373,CARMIL1,ENST00000329474.7,0.2 <= TPM < 0.5
chr6,26225134,+,promoter,26223134,26227134,H3C6,ENST00000614911.3,0.2 <= TPM < 0.5
chr6,28281571,+,promoter,28279571,28283571,PGBD1,ENST00000682144.1,0.2 <= TPM < 0.5
chr6,31721746,-,promoter,31719746,31723746,LY6G6C,ENST00000375819.3,0.2 <= TPM < 0.5
chr6,31777328,-,promoter,31775328,31779328,VWA7,ENST00000375688.5,0.2 <= TPM < 0.5
chr6,31902086,-,promoter,31900086,31904086,ZBTB12,ENST00000375527.3,0.2 <= TPM < 0.5
chr6,36954737,+,promoter,36952737,36956737,PI16,ENST00000373674.4,0.2 <= TPM < 0.5
chr6,42194956,-,promoter,42192956,42196956,GUCA1B,ENST00000230361.4,0.2 <= TPM < 0.5
chr6,43076313,+,promoter,43074313,43078313,PTK7,ENST00000230419.9,0.2 <= TPM < 0.5
chr6,43455548,-,promoter,43453548,43457548,DLK2,ENST00000372488.8,0.2 <= TPM < 0.5
chr6,43645035,+,promoter,43643035,43647035,RSPH9,ENST00000372163.5,0.2 <= TPM < 0.5
chr6,46170980,-,promoter,46168980,46172980,ENPP5,ENST00000371383.7,0.2 <= TPM < 0.5
chr6,69866555,+,promoter,69864555,69868555,COL19A1,ENST00000620364.5,0.2 <= TPM < 0.5
chr6,73263196,-,promoter,73261196,73265196,KHDC1,ENST00000257765.10,0.2 <= TPM < 0.5
chr6,83193356,+,promoter,83191356,83195356,RWDD2A,ENST00000369724.5,0.2 <= TPM < 0.5
chr6,90296843,-,promoter,90294843,90298843,BACH2,ENST00000257749.9,0.2 <= TPM < 0.5
chr6,111259338,+,promoter,111257338,111261338,MFSD4B,ENST00000671876.2,0.2 <= TPM < 0.5
chr6,112087590,+,promoter,112085590,112089590,FAM229B,ENST00000368656.7,0.2 <= TPM < 0.5
chr6,124962436,+,promoter,124960436,124964436,RNF217,ENST00000521654.7,0.2 <= TPM < 0.5
chr6,134950101,-,promoter,134948101,134952101,ALDH8A1,ENST00000265605.7,0.2 <= TPM < 0.5
chr6,150599884,+,promoter,150597884,150601884,PLEKHG1,ENST00000696526.1,0.2 <= TPM < 0.5
chr6,170291078,-,promoter,170289078,170293078,DLL1,ENST00000366756.4,0.2 <= TPM < 0.5
chr7,6615609,+,promoter,6613609,6617609,ZNF853,ENST00000457543.4,0.2 <= TPM < 0.5
chr7,16753754,+,promoter,16751754,16755754,TSPAN13,ENST00000262067.5,0.2 <= TPM < 0.5
chr7,72828200,-,promoter,72826200,72830200,TYW1B,ENST00000620995.5,0.2 <= TPM < 0.5
chr7,87934250,+,promoter,87932250,87936250,ADAM22,ENST00000413139.2,0.2 <= TPM < 0.5
chr7,91264432,+,promoter,91262432,91266432,FZD1,ENST00000287934.4,0.2 <= TPM < 0.5
chr7,100969564,+,promoter,100967564,100971564,MUC12,ENST00000536621.6,0.2 <= TPM < 0.5
chr7,129502530,+,promoter,129500530,129504530,SMKR1,ENST00000462322.3,0.2 <= TPM < 0.5
chr7,134986507,+,promoter,134984507,134988507,AGBL3,ENST00000436302.6,0.2 <= TPM < 0.5
chr7,143222036,+,promoter,143220036,143224036,TAS2R40,ENST00000408947.4,0.2 <= TPM < 0.5
chr7,150991016,+,promoter,150989016,150993016,NOS3,ENST00000297494.8,0.2 <= TPM < 0.5
chr7,152676141,-,promoter,152674141,152678141,XRCC2,ENST00000359321.2,0.2 <= TPM < 0.5
chr8,1823925,+,promoter,1821925,1825925,ARHGEF10,ENST00000349830.8,0.2 <= TPM < 0.5
chr8,28083936,-,promoter,28081936,28085936,NUGGC,ENST00000413272.7,0.2 <= TPM < 0.5
chr8,28494211,+,promoter,28492211,28496211,FZD3,ENST00000240093.8,0.2 <= TPM < 0.5
chr8,43093514,+,promoter,43091514,43095514,POMK,ENST00000331373.10,0.2 <= TPM < 0.5
chr8,80486225,+,promoter,80484225,80488225,ZBTB10,ENST00000455036.8,0.2 <= TPM < 0.5
chr8,85107237,+,promoter,85105237,85109237,LRRCC1,ENST00000360375.8,0.2 <= TPM < 0.5
chr8,93754893,+,promoter,93752893,93756893,TMEM67,ENST00000453321.8,0.2 <= TPM < 0.5
chr8,94436944,-,promoter,94434944,94438944,FSBP,ENST00000481490.3,0.2 <= TPM < 0.5
chr8,103298897,+,promoter,103296897,103300897,FZD6,ENST00000358755.5,0.2 <= TPM < 0.5
chr8,118621963,-,promoter,118619963,118623963,SAMD12,ENST00000314727.9,0.2 <= TPM < 0.5
chr8,119416445,+,promoter,119414445,119418445,CCN3,ENST00000259526.4,0.2 <= TPM < 0.5
chr8,142449648,+,promoter,142447648,142451648,ADGRB1,ENST00000517894.6,0.2 <= TPM < 0.5
chr8,143733779,-,promoter,143731779,143735779,FAM83H,ENST00000388913.4,0.2 <= TPM < 0.5
chr8,144107738,+,promoter,144105738,144109738,WDR97,ENST00000323662.9,0.2 <= TPM < 0.5
chr8,144504139,+,promoter,144502139,144506139,GPT,ENST00000394955.3,0.2 <= TPM < 0.5
chr8,144527033,-,promoter,144525033,144529033,LRRC24,ENST00000529415.7,0.2 <= TPM < 0.5
chr9,17135039,+,promoter,17133039,17137039,CNTLN,ENST00000380647.8,0.2 <= TPM < 0.5
chr9,22009305,-,promoter,22007305,22011305,CDKN2B,ENST00000276925.7,0.2 <= TPM < 0.5
chr9,27529814,-,promoter,27527814,27531814,MOB3B,ENST00000262244.6,0.2 <= TPM < 0.5
chr9,35812262,-,promoter,35810262,35814262,SPAG8,ENST00000396638.7,0.2 <= TPM < 0.5
chr9,42129426,-,promoter,42127426,42131426,CNTNAP3B,ENST00000377561.7,0.2 <= TPM < 0.5
chr9,88991467,+,promoter,88989467,88993467,S1PR3,ENST00000358157.3,0.2 <= TPM < 0.5
chr9,94084463,+,promoter,94082463,94086463,PTPDC1,ENST00000620992.5,0.2 <= TPM < 0.5
chr9,96619843,-,promoter,96617843,96621843,CDC14B,ENST00000375241.6,0.2 <= TPM < 0.5
chr9,97307658,+,promoter,97305658,97309658,CCDC180,ENST00000529487.3,0.2 <= TPM < 0.5
chr9,104764128,+,promoter,104762128,104766128,NIPSNAP3B,ENST00000374762.4,0.2 <= TPM < 0.5
chr9,117415057,-,promoter,117413057,117417057,ASTN2,ENST00000313400.9,0.2 <= TPM < 0.5
chr9,121050275,-,promoter,121048275,121052275,C5,ENST00000223642.3,0.2 <= TPM < 0.5
chr9,127264773,+,promoter,127262773,127266773,GARNL3,ENST00000373387.9,0.2 <= TPM < 0.5
chr9,127930777,-,promoter,127928777,127932777,PIP5KL1,ENST00000388747.9,0.2 <= TPM < 0.5
chr9,128203378,+,promoter,128201378,128205378,DNM1,ENST00000372923.8,0.2 <= TPM < 0.5
chr9,132878897,+,promoter,132876897,132880897,SPACA9,ENST00000356311.10,0.2 <= TPM < 0.5
chr9,133422366,+,promoter,133420366,133424366,ADAMTS13,ENST00000355699.7,0.2 <= TPM < 0.5
chr9,133738352,-,promoter,133736352,133740352,SARDH,ENST00000439388.6,0.2 <= TPM < 0.5
chr9,136327538,+,promoter,136325538,136329538,GPSM1,ENST00000440944.6,0.2 <= TPM < 0.5
chr9,136796337,+,promoter,136794337,136798337,CCDC183,ENST00000338005.7,0.2 <= TPM < 0.5
chr9,136952272,+,promoter,136950272,136954272,LCN12,ENST00000371633.8,0.2 <= TPM < 0.5
chrX,14873069,-,promoter,14871069,14875069,FANCB,ENST00000650831.1,0.2 <= TPM < 0.5
chrX,38561541,+,promoter,38559541,38563541,TSPAN7,ENST00000378482.7,0.2 <= TPM < 0.5
chrX,44343672,-,promoter,44341672,44345672,EFHC2,ENST00000420999.2,0.2 <= TPM < 0.5
chrX,47619857,-,promoter,47617857,47621857,SYN1,ENST00000295987.13,0.2 <= TPM < 0.5
chrX,49879483,+,promoter,49877483,49881483,USP27X,ENST00000621775.2,0.2 <= TPM < 0.5
chrX,49922595,+,promoter,49920595,49924595,CLCN5,ENST00000376091.8,0.2 <= TPM < 0.5
chrX,54920823,+,promoter,54918823,54922823,TRO,ENST00000173898.12,0.2 <= TPM < 0.5
chrX,64205708,-,promoter,64203708,64207708,AMER1,ENST00000374869.8,0.2 <= TPM < 0.5
chrX,66639078,-,promoter,66637078,66641078,EDA2R,ENST00000374719.8,0.2 <= TPM < 0.5
chrX,71301749,+,promoter,71299749,71303749,ITGB1BP2,ENST00000373829.8,0.2 <= TPM < 0.5
chrX,101550546,+,promoter,101548546,101552546,ARMCX1,ENST00000372829.8,0.2 <= TPM < 0.5
chrX,102651482,+,promoter,102649482,102653482,GPRASP1,ENST00000537097.2,0.2 <= TPM < 0.5
chrX,130268899,-,promoter,130266899,130270899,ZNF280C,ENST00000370978.9,0.2 <= TPM < 0.5
chrX,153411471,+,promoter,153409471,153413471,ZFP92,ENST00000338647.7,0.2 <= TPM < 0.5
chrX,153446056,-,promoter,153444056,153448056,TREX2,ENST00000370231.3,0.2 <= TPM < 0.5
chrX,153764248,+,promoter,153762248,153766248,PLXNB3,ENST00000361971.10,0.2 <= TPM < 0.5
chrX,155612585,+,promoter,155610585,155614585,SPRY3,ENST00000695325.1,0.2 <= TPM < 0.5
chr1,1280435,+,promoter,1278435,1282435,SCNN1D,ENST00000379116.10,0.5 <= TPM < 1
chr1,1600135,-,promoter,1598135,1602135,FNDC10,ENST00000422725.4,0.5 <= TPM < 1
chr1,2391554,-,promoter,2389554,2393554,MORN1,ENST00000378531.8,0.5 <= TPM < 1
chr1,6206118,+,promoter,6204118,6208118,RNF207,ENST00000377939.5,0.5 <= TPM < 1
chr1,7940839,-,promoter,7938839,7942839,TNFRSF9,ENST00000377507.8,0.5 <= TPM < 1
chr1,8026309,-,promoter,8024309,8028309,ERRFI1,ENST00000377482.10,0.5 <= TPM < 1
chr1,9292893,+,promoter,9290893,9294893,SPSB1,ENST00000328089.11,0.5 <= TPM < 1
chr1,9539464,+,promoter,9537464,9541464,SLC25A33,ENST00000302692.7,0.5 <= TPM < 1
chr1,11654429,-,promoter,11652429,11656429,FBXO2,ENST00000354287.5,0.5 <= TPM < 1
chr1,16237183,-,promoter,16235183,16239183,CPLANE2,ENST00000375599.8,0.5 <= TPM < 1
chr1,19882394,+,promoter,19880394,19884394,OTUD3,ENST00000375120.4,0.5 <= TPM < 1
chr1,21937310,-,promoter,21935310,21939310,HSPG2,ENST00000374695.8,0.5 <= TPM < 1
chr1,23369836,-,promoter,23367836,23371836,ZNF436,ENST00000314011.9,0.5 <= TPM < 1
chr1,23424748,-,promoter,23422748,23426748,TCEA3,ENST00000450454.7,0.5 <= TPM < 1
chr1,23913362,-,promoter,23911362,23915362,CNR2,ENST00000374472.5,0.5 <= TPM < 1
chr1,25272508,+,promoter,25270508,25274508,RHD,ENST00000328664.9,0.5 <= TPM < 1
chr1,26111823,+,promoter,26109823,26113823,PDIK1L,ENST00000374269.2,0.5 <= TPM < 1
chr1,31816022,-,promoter,31814022,31818022,SPOCD1,ENST00000360482.7,0.5 <= TPM < 1
chr1,32205670,+,promoter,32203670,32207670,IQCC,ENST00000291358.11,0.5 <= TPM < 1
chr1,32362538,+,promoter,32360538,32364538,TSSK3,ENST00000373534.4,0.5 <= TPM < 1
chr1,35769978,-,promoter,35767978,35771978,CLSPN,ENST00000318121.8,0.5 <= TPM < 1
chr1,39901917,-,promoter,39899917,39903917,MYCL,ENST00000372816.3,0.5 <= TPM < 1
chr1,40477289,+,promoter,40475289,40479289,ZFP69,ENST00000372706.6,0.5 <= TPM < 1
chr1,40531636,+,promoter,40529636,40533636,ZNF684,ENST00000372699.8,0.5 <= TPM < 1
chr1,44031462,-,promoter,44029462,44033462,SLC6A9,ENST00000372310.8,0.5 <= TPM < 1
chr1,45500073,-,promoter,45498073,45502073,CCDC163,ENST00000629482.3,0.5 <= TPM < 1
chr1,47314147,-,promoter,47312147,47316147,STIL,ENST00000371877.8,0.5 <= TPM < 1
chr1,54801323,-,promoter,54799323,54803323,TTC22,ENST00000371276.9,0.5 <= TPM < 1
chr1,62688386,-,promoter,62686386,62690386,DOCK7,ENST00000635253.2,0.5 <= TPM < 1
chr1,77888623,+,promoter,77886623,77890623,NEXN,ENST00000334785.12,0.5 <= TPM < 1
chr1,91886151,-,promoter,91884151,91888151,TGFBR3,ENST00000212355.9,0.5 <= TPM < 1
chr1,100132930,-,promoter,100130930,100134930,SASS6,ENST00000287482.6,0.5 <= TPM < 1
chr1,100249834,-,promoter,100247834,100251834,DBT,ENST00000370132.8,0.5 <= TPM < 1
chr1,100894842,-,promoter,100892842,100896842,EXTL2,ENST00000370114.8,0.5 <= TPM < 1
chr1,111427735,-,promoter,111425735,111429735,OVGP1,ENST00000369732.4,0.5 <= TPM < 1
chr1,113887581,-,promoter,113885581,113889581,BCL2L15,ENST00000393316.8,0.5 <= TPM < 1
chr1,149813693,-,promoter,149811693,149815693,H3C13,ENST00000331491.2,0.5 <= TPM < 1
chr1,151540308,+,promoter,151538308,151542308,TUFT1,ENST00000368849.8,0.5 <= TPM < 1
chr1,151790500,-,promoter,151788500,151792500,TDRKH,ENST00000368824.8,0.5 <= TPM < 1
chr1,154321092,+,promoter,154319092,154323092,AQP10,ENST00000324978.8,0.5 <= TPM < 1
chr1,155173848,+,promoter,155171848,155175848,TRIM46,ENST00000334634.9,0.5 <= TPM < 1
chr1,156242183,+,promoter,156240183,156244183,BGLAP,ENST00000368272.5,0.5 <= TPM < 1
chr1,157777132,-,promoter,157775132,157779132,FCRL2,ENST00000361516.8,0.5 <= TPM < 1
chr1,160031990,-,promoter,160029990,160033990,PIGM,ENST00000368090.5,0.5 <= TPM < 1
chr1,169485944,-,promoter,169483944,169487944,SLC19A2,ENST00000236137.10,0.5 <= TPM < 1
chr1,173207331,-,promoter,173205331,173209331,TNFSF4,ENST00000281834.4,0.5 <= TPM < 1
chr1,179229677,-,promoter,179227677,179231677,ABL2,ENST00000502732.6,0.5 <= TPM < 1
chr1,197146669,-,promoter,197144669,197148669,ASPM,ENST00000367409.9,0.5 <= TPM < 1
chr1,197775480,-,promoter,197773480,197777480,DENND1B,ENST00000620048.6,0.5 <= TPM < 1
chr1,202193798,+,promoter,202191798,202195798,LGR6,ENST00000367278.8,0.5 <= TPM < 1
chr1,205211702,-,promoter,205209702,205213702,DSTYK,ENST00000367162.8,0.5 <= TPM < 1
chr1,206635535,+,promoter,206633535,206637535,DYRK3,ENST00000367109.8,0.5 <= TPM < 1
chr1,209827971,+,promoter,209825971,209829971,UTP25,ENST00000491415.7,0.5 <= TPM < 1
chr1,215567303,+,promoter,215565303,215569303,KCTD3,ENST00000259154.9,0.5 <= TPM < 1
chr1,217631090,-,promoter,217629090,217633090,GPATCH2,ENST00000366935.8,0.5 <= TPM < 1
chr1,222589933,-,promoter,222587933,222591933,TAF1A,ENST00000352967.9,0.5 <= TPM < 1
chr1,235504452,-,promoter,235502452,235506452,B3GALNT2,ENST00000366600.8,0.5 <= TPM < 1
chr1,241848203,+,promoter,241846203,241850203,EXO1,ENST00000366548.8,0.5 <= TPM < 1
chr10,5889893,-,promoter,5887893,5891893,ANKRD16,ENST00000380094.10,0.5 <= TPM < 1
chr10,13161557,+,promoter,13159557,13163557,MCM10,ENST00000378714.8,0.5 <= TPM < 1
chr10,17617374,-,promoter,17615374,17619374,HACD1,ENST00000361271.8,0.5 <= TPM < 1
chr10,32446139,+,promoter,32444139,32448139,CCDC7,ENST00000639629.2,0.5 <= TPM < 1
chr10,68332928,-,promoter,68330928,68334928,PBLD,ENST00000358769.7,0.5 <= TPM < 1
chr10,73591342,-,promoter,73589342,73593342,USP54,ENST00000687698.1,0.5 <= TPM < 1
chr10,77926755,-,promoter,77924755,77928755,DLG5,ENST00000372391.7,0.5 <= TPM < 1
chr10,80132729,+,promoter,80130729,80134729,PLAC9,ENST00000372263.4,0.5 <= TPM < 1
chr10,87659877,+,promoter,87657877,87661877,PAPSS2,ENST00000456849.2,0.5 <= TPM < 1
chr10,89701589,+,promoter,89699589,89703589,KIF20B,ENST00000371728.8,0.5 <= TPM < 1
chr10,93482334,-,promoter,93480334,93484334,MYOF,ENST00000359263.9,0.5 <= TPM < 1
chr10,96043582,+,promoter,96041582,96045582,CCNJ,ENST00000465148.3,0.5 <= TPM < 1
chr10,102918293,+,promoter,102916293,102920293,CNNM2,ENST00000369878.9,0.5 <= TPM < 1
chr10,103367975,+,promoter,103365975,103369975,TAF5,ENST00000369839.4,0.5 <= TPM < 1
chr10,103493704,+,promoter,103491704,103495704,NEURL1,ENST00000369780.9,0.5 <= TPM < 1
chr10,103855576,-,promoter,103853576,103857576,SH3PXD2A,ENST00000369774.9,0.5 <= TPM < 1
chr10,113854082,-,promoter,113852082,113856082,DCLRE1A,ENST00000361384.7,0.5 <= TPM < 1
chr10,117005187,-,promoter,117003187,117007187,SHTN1,ENST00000355371.9,0.5 <= TPM < 1
chr10,119726049,+,promoter,119724049,119728049,INPP5F,ENST00000650623.2,0.5 <= TPM < 1
chr10,122980400,+,promoter,122978400,122982400,PSTK,ENST00000406217.8,0.5 <= TPM < 1
chr11,2270588,-,promoter,2268588,2272588,ASCL2,ENST00000331289.5,0.5 <= TPM < 1
chr11,3671384,-,promoter,3669384,3673384,CHRNA10,ENST00000250699.2,0.5 <= TPM < 1
chr11,8810674,-,promoter,8808674,8812674,DENND2B,ENST00000313726.11,0.5 <= TPM < 1
chr11,19240945,-,promoter,19238945,19242945,E2F8,ENST00000250024.9,0.5 <= TPM < 1
chr11,28108156,-,promoter,28106156,28110156,KIF18A,ENST00000263181.7,0.5 <= TPM < 1
chr11,32892810,+,promoter,32890810,32894810,QSER1,ENST00000650167.2,0.5 <= TPM < 1
chr11,44726961,+,promoter,44724961,44728961,TSPAN18,ENST00000520358.7,0.5 <= TPM < 1
chr11,45922655,+,promoter,45920655,45924655,LARGE2,ENST00000401752.6,0.5 <= TPM < 1
chr11,47715369,-,promoter,47713369,47717369,AGBL2,ENST00000525123.6,0.5 <= TPM < 1
chr11,65089110,-,promoter,65087110,65091110,TMEM262,ENST00000530719.6,0.5 <= TPM < 1
chr11,66347629,-,promoter,66345629,66349629,B4GAT1,ENST00000311181.5,0.5 <= TPM < 1
chr11,71928594,-,promoter,71926594,71930594,XNDC1N,ENST00000679412.2,0.5 <= TPM < 1
chr11,73308275,+,promoter,73306275,73310275,ARHGEF17,ENST00000263674.4,0.5 <= TPM < 1
chr11,77066970,+,promoter,77064970,77068970,CAPN5,ENST00000648180.1,0.5 <= TPM < 1
chr11,86800541,+,promoter,86798541,86802541,PRSS23,ENST00000280258.6,0.5 <= TPM < 1
chr11,107565735,-,promoter,107563735,107567735,ALKBH8,ENST00000428149.7,0.5 <= TPM < 1
chr11,112961419,+,promoter,112959419,112963419,NCAM1,ENST00000316851.12,0.5 <= TPM < 1
chr11,117316256,-,promoter,117314256,117318256,BACE1,ENST00000313005.11,0.5 <= TPM < 1
chr11,119317130,-,promoter,119315130,119319130,MCAM,ENST00000264036.6,0.5 <= TPM < 1
chr11,122838499,+,promoter,122836499,122840499,CRTAM,ENST00000227348.9,0.5 <= TPM < 1
chr11,124673903,+,promoter,124671903,124675903,SPA17,ENST00000227135.7,0.5 <= TPM < 1
chr11,134069071,+,promoter,134067071,134071071,JAM3,ENST00000299106.9,0.5 <= TPM < 1
chr12,991222,+,promoter,989222,993222,ERC1,ENST00000360905.9,0.5 <= TPM < 1
chr12,1629230,+,promoter,1627230,1631230,WNT5B,ENST00000397196.7,0.5 <= TPM < 1
chr12,7444153,-,promoter,7442153,7446153,CD163L1,ENST00000313599.8,0.5 <= TPM < 1
chr12,9115919,-,promoter,9113919,9117919,A2M,ENST00000318602.12,0.5 <= TPM < 1
chr12,10098985,-,promoter,10096985,10100985,CLEC1A,ENST00000315330.8,0.5 <= TPM < 1
chr12,13196725,+,promoter,13194725,13198725,EMP1,ENST00000256951.10,0.5 <= TPM < 1
chr12,15322507,+,promoter,15320507,15324507,PTPRO,ENST00000281171.9,0.5 <= TPM < 1
chr12,34022495,+,promoter,34020495,34024495,ALG10,ENST00000266483.7,0.5 <= TPM < 1
chr12,39443120,-,promoter,39441120,39445120,KIF21A,ENST00000361418.10,0.5 <= TPM < 1
chr12,43758790,-,promoter,43756790,43760790,PUS7L,ENST00000344862.10,0.5 <= TPM < 1
chr12,48971735,-,promoter,48969735,48973735,WNT10B,ENST00000301061.9,0.5 <= TPM < 1
chr12,56521819,+,promoter,56519819,56523819,RBMS2,ENST00000262031.10,0.5 <= TPM < 1
chr12,65278682,+,promoter,65276682,65280682,MSRB3,ENST00000308259.10,0.5 <= TPM < 1
chr12,92929295,-,promoter,92927295,92931295,EEA1,ENST00000322349.13,0.5 <= TPM < 1
chr12,102480563,-,promoter,102478563,102482563,IGF1,ENST00000337514.11,0.5 <= TPM < 1
chr12,103841234,-,promoter,103839234,103843234,NT5DC3,ENST00000392876.8,0.5 <= TPM < 1
chr12,108515276,+,promoter,108513276,108517276,FICD,ENST00000552695.6,0.5 <= TPM < 1
chr12,109116586,+,promoter,109114586,109118586,ACACB,ENST00000338432.12,0.5 <= TPM < 1
chr12,118104011,-,promoter,118102011,118106011,VSIG10,ENST00000359236.10,0.5 <= TPM < 1
chr12,133130626,+,promoter,133128626,133132626,ZNF10,ENST00000248211.11,0.5 <= TPM < 1
chr13,21176552,-,promoter,21174552,21178552,SKA3,ENST00000314759.6,0.5 <= TPM < 1
chr13,23433702,-,promoter,23431702,23435702,SACS,ENST00000382292.9,0.5 <= TPM < 1
chr13,27620529,-,promoter,27618529,27622529,LNX2,ENST00000316334.5,0.5 <= TPM < 1
chr13,32315507,+,promoter,32313507,32317507,BRCA2,ENST00000380152.8,0.5 <= TPM < 1
chr13,40789610,+,promoter,40787610,40791610,SLC25A15,ENST00000338625.9,0.5 <= TPM < 1
chr13,42048647,+,promoter,42046647,42050647,DGKH,ENST00000337343.9,0.5 <= TPM < 1
chr13,44989471,-,promoter,44987471,44991471,NUFIP1,ENST00000379161.5,0.5 <= TPM < 1
chr13,49936340,-,promoter,49934340,49938340,SPRYD7,ENST00000361840.8,0.5 <= TPM < 1
chr13,52012397,+,promoter,52010397,52014397,ALG11,ENST00000521508.2,0.5 <= TPM < 1
chr13,52642430,+,promoter,52640430,52644430,HNRNPA1L2,ENST00000357495.5,0.5 <= TPM < 1
chr13,96053401,-,promoter,96051401,96055401,UGGT2,ENST00000376747.8,0.5 <= TPM < 1
chr13,113759225,+,promoter,113757225,113761225,TMEM255B,ENST00000375353.5,0.5 <= TPM < 1
chr14,22836584,+,promoter,22834584,22838584,MMP14,ENST00000311852.11,0.5 <= TPM < 1
chr14,24130658,+,promoter,24128658,24132658,FITM1,ENST00000267426.6,0.5 <= TPM < 1
chr14,24263177,-,promoter,24261177,24265177,TGM1,ENST00000206765.11,0.5 <= TPM < 1
chr14,31561403,+,promoter,31559403,31563403,NUBPL,ENST00000281081.12,0.5 <= TPM < 1
chr14,35826337,+,promoter,35824337,35828337,BRMS1L,ENST00000216807.12,0.5 <= TPM < 1
chr14,44962189,+,promoter,44960189,44964189,TOGARAM1,ENST00000361462.7,0.5 <= TPM < 1
chr14,45135929,+,promoter,45133929,45137929,FANCM,ENST00000267430.10,0.5 <= TPM < 1
chr14,49635244,-,promoter,49633244,49637244,DNAAF2,ENST00000298292.13,0.5 <= TPM < 1
chr14,52552505,-,promoter,52550505,52554505,TXNDC16,ENST00000281741.9,0.5 <= TPM < 1
chr14,54567127,+,promoter,54565127,54569127,SAMD4A,ENST00000554335.6,0.5 <= TPM < 1
chr14,60981079,-,promoter,60979079,60983079,TRMT5,ENST00000261249.7,0.5 <= TPM < 1
chr14,67619919,+,promoter,67617919,67621919,ARG2,ENST00000261783.4,0.5 <= TPM < 1
chr14,80941738,-,promoter,80939738,80943738,CEP128,ENST00000555265.6,0.5 <= TPM < 1
chr14,88824650,+,promoter,88822650,88826650,TTC8,ENST00000380656.7,0.5 <= TPM < 1
chr14,91060641,-,promoter,91058641,91062641,RPS6KA5,ENST00000614987.5,0.5 <= TPM < 1
